Macroporosity,Vugs,Count,Sample,Grid,R,P_Area_100,WAv_Lx,Alignment,Alignment2,Eccent,keq_simulation,WAv_ly,Lx_norm,Ly_norm,Perimeter,EquivDiameter,Major,Minor,DifMajorMinor,Av_Area,Std_area,var_Area,Std_Lx,var_Lx
0.22,385,245,aleatory,grid-15,r1,0.20939,2.79484,0.537971,0.28053,0.501591,1.67007,2.72815,0.0279484,0.054563,0.070837,109.396,141.841,93.6413,48.1995,0.0854652,4496.73,2.02206e+07,0.00894754,8.00584e-05
0.22,385,187,aleatory,grid-19,r1,0.219461,4.96847,0.565548,0.391007,0.609249,1.96774,4.46416,0.0496847,0.0892833,0.174699,156.047,251.03,147.85,103.18,0.117359,11824.7,1.39824e+08,0.0204088,0.000416519
0.22,385,385,aleatory,grid-20,r1,0.218507,1.92527,0.575812,0.01,0.12548,1.72545,1.92185,0.0192527,0.0384371,0.0427428,79.8353,80.2116,79.5249,0.68676,0.056755,23.025,530.151,0.000236985,5.61617e-08
0.22,385,385,aleatory,grid-30,r1,0.217427,1.92147,0.556563,0.01,0.116218,1.58788,1.91474,0.0192147,0.0382948,0.0425414,79.6375,79.9587,79.3808,0.577933,0.0564744,18.9928,360.725,0.000228815,5.23564e-08
0.24,420,289,aleatory,grid-10,r1,0.217557,2.50649,0.539084,0.236427,0.439175,1.69788,2.48192,0.0250649,0.0496384,0.0577686,98.4541,118.702,86.5192,32.1823,0.0752793,3080.13,9.4872e+06,0.00620518,3.85042e-05
0.24,420,258,aleatory,grid-15,r1,0.227715,3.07233,0.527739,0.268337,0.47512,1.74507,3.11627,0.0307233,0.0623254,0.0842005,118.11,151.942,106.913,45.029,0.0882617,6226.33,3.87672e+07,0.0101047,0.000102106
0.24,420,192,aleatory,grid-19,r1,0.239477,5.07117,0.512375,0.380794,0.635395,2.00014,5.39831,0.0507117,0.107966,0.200973,164.572,285.475,162.176,123.299,0.124728,13503.3,1.82339e+08,0.0193644,0.000374981
0.24,420,420,aleatory,grid-20,r1,0.238433,1.92634,0.568008,0.01,0.126271,1.76223,1.92384,0.0192634,0.0384768,0.0427937,79.8457,80.2253,79.5315,0.693815,0.0567698,23.1516,535.996,0.00023327,5.44151e-08
0.24,420,420,aleatory,grid-30,r1,0.237107,1.92019,0.560039,0.01,0.11242,1.65102,1.91012,0.0192019,0.0382024,0.0424907,79.6231,79.9299,79.3809,0.54897,0.056454,18.5079,342.542,0.000245605,6.03217e-08
0.25,437,291,aleatory,grid-10,r1,0.225091,2.74117,0.552858,0.252153,0.440958,1.73559,2.62016,0.0274117,0.0524032,0.0638126,103.453,129.352,89.941,39.4109,0.0773509,4095.55,1.67736e+07,0.00815332,6.64766e-05
0.25,437,264,aleatory,grid-15,r1,0.236852,3.05036,0.538321,0.300301,0.542529,1.83019,2.96178,0.0305036,0.0592356,0.0791382,115.374,159.177,95.3116,63.8652,0.0897167,5471.65,2.9939e+07,0.0108184,0.000117038
0.25,437,173,aleatory,grid-19,r1,0.249364,5.36653,0.50481,0.387819,0.660656,2.24199,5.37044,0.0536653,0.107409,0.200247,171.894,291.933,160.388,131.544,0.144141,13715.9,1.88126e+08,0.0220047,0.000484209
0.25,437,437,aleatory,grid-20,r1,0.248068,1.92692,0.567553,0.01,0.124669,1.85364,1.92342,0.0192692,0.0384684,0.0428091,79.8432,80.2121,79.5402,0.671932,0.0567662,23.613,557.573,0.000239945,5.75736e-08
0.25,437,437,aleatory,grid-30,r1,0.246692,1.9209,0.568914,0.01,0.11341,1.68915,1.91219,0.019209,0.0382438,0.0424914,79.6211,79.9328,79.374,0.558872,0.0564512,18.2807,334.186,0.000253311,6.41663e-08
0.26,455,307,aleatory,grid-10,r1,0.234736,2.48989,0.51946,0.235466,0.452728,1.77588,2.55605,0.0248989,0.051121,0.0590887,99.8334,121.69,87.0858,34.6039,0.0764613,3278.49,1.07485e+07,0.00606084,3.67338e-05
0.26,455,251,aleatory,grid-15,r1,0.245024,3.31457,0.521291,0.312781,0.576478,1.936,3.28307,0.0331457,0.0656614,0.0912753,124.404,174.427,105.386,69.0415,0.0976192,6827.93,4.66206e+07,0.011935,0.000142444
0.26,455,178,aleatory,grid-19,r1,0.25969,5.99694,0.546779,0.427382,0.695291,2.40618,5.21431,0.0599694,0.104286,0.206273,174.512,324.279,152.643,171.636,0.145893,14083.4,1.98343e+08,0.0266202,0.000708637
0.26,455,455,aleatory,grid-20,r1,0.258526,1.92897,0.564193,0.01,0.125717,1.89325,1.92488,0.0192897,0.0384976,0.0427975,79.8802,80.2569,79.5694,0.687461,0.0568189,22.7548,517.783,0.000229793,5.2805e-08
0.26,455,455,aleatory,grid-30,r1,0.256811,1.92068,0.57862,0.01,0.114759,1.73094,1.91133,0.0192068,0.0382266,0.0424732,79.6146,79.9318,79.3616,0.570261,0.0564419,19.0292,362.111,0.000238851,5.70499e-08
0.28,490,301,aleatory,grid-10,r1,0.246902,2.73555,0.546471,0.313151,0.49409,1.83501,2.61159,0.0273555,0.0522317,0.0634718,104.813,130.193,90.625,39.5676,0.0820271,3843.08,1.47693e+07,0.00777846,6.05044e-05
